Order_ID,Customer_ID,Product_ID,Order_Date,Shipping_Date,Sales,Quantity,Discount,Profit,Unit_Price
1,89,1566,29/03/2019,04/04/2019,79.4000,5,0.20,5.9550,15.6800
2,244,343,14/07/2019,23/07/2019,375.4575,3,0.45,-157.0095,124.7025
3,291,558,01/02/2019,18/02/2019,23.7600,3,0.20,2.0790,7.7200
4,613,1135,13/03/2019,23/03/2019,142.4000,5,0.00,52.6880,28.4800
5,390,641,15/10/2019,02/11/2019,94.8500,5,0.00,45.5280,18.9700
6,213,862,31/05/2019,29/06/2019,340.1820,3,0.40,-73.7061,112.9940
7,550,24,02/09/2019,01/10/2019,203.9200,5,0.20,22.9410,40.5840
8,12,489,17/07/2019,04/08/2019,51.7500,5,0.00,24.8400,10.3500
9,768,589,21/07/2019,08/08/2019,15.2800,2,0.00,7.4872,7.6400
10,678,833,19/11/2019,13/12/2019,154.7640,3,0.40,-46.4292,51.1880
11,105,392,18/02/2019,09/03/2019,73.3200,6,0.00,21.9960,12.2200
12,224,1530,02/01/2019,13/01/2019,45.3600,7,0.00,21.7728,6.4800
13,728,257,24/11/2019,29/11/2019,8.3200,5,0.20,2.8080,1.4640
14,547,526,17/06/2019,23/06/2019,9.7280,2,0.20,3.2832,4.6640
15,310,734,04/07/2019,02/08/2019,1297.3680,9,0.20,97.3026,143.9520
16,789,368,12/03/2019,07/04/2019,72.5880,2,0.70,-128.2388,35.5940
17,649,1050,05/08/2019,26/08/2019,254.3520,3,0.20,0.0000,84.5840
18,495,617,14/11/2019,01/12/2019,557.7280,4,0.20,6.9716,139.2320
19,610,187,21/09/2019,16/10/2019,2.9460,3,0.80,-4.8609,0.1820
20,308,118,12/12/2019,29/12/2019,226.5600,6,0.00,63.4368,37.7600
21,485,1259,31/05/2019,28/06/2019,2.8160,2,0.20,0.9856,1.2080
22,157,1572,07/10/2019,20/10/2019,335.9440,7,0.20,41.9930,47.7920
23,584,912,31/10/2019,16/11/2019,15.1200,3,0.20,4.9140,4.8400
24,451,857,03/06/2019,28/06/2019,22.3800,2,0.00,10.7424,11.1900
25,437,899,28/10/2019,13/11/2019,1575.1400,7,0.00,204.7682,225.0200
26,230,699,07/12/2019,11/12/2019,10.4760,3,0.60,-6.8094,2.8920
